"","blotid","muscle","exercise","keap1c","nrf2n","nrf2c","ho1t","sod1t","nkrt","nkrc","nrf2t"
"59","O","SQ","EX",-0.34059721465711,0.874847102512325,-0.557158714015379,-1.71544597103595,-0.159087224538656,0.114223025447464,-0.21656149935827,-0.226374189209645
"60","O","DQ","EX",-0.46550013720605,1.04981910149411,-0.457956662227508,-1.89553643935619,-0.178913303493348,0.314584533871368,0.00754347497854264,-0.150915603334682
"61","P","G","EX",0.258526648692196,0.969936687582447,0.866526053820276,-0.756656642027755,0.169734183832894,0.615338194777962,0.607999405128079,0.873864843470159
"62","P","S","EX",0.340228095971432,1.32620887581824,-0.122087478994613,-0.67499764435645,0.712857661453913,-0.125734261835161,-0.462315574966045,0.214493834136271
"63","P","SQ","EX",-0.588466640032818,1.18342264685869,-0.391676188725247,-1.08688494358098,-0.387166640905563,0.38895255099906,0.196790451307571,-0.199514089033758
"64","P","DQ","EX",-0.566192466956884,0.632384280120962,-0.469530381245238,-1.33101947778814,0.0384425546972771,0.235605078599303,0.0966620857116463,-0.330587388357581
"65","Q","G","EX",-0.701324019979144,1.02459456013462,-0.107535445771238,-0.453287768959908,-0.0221221605346687,0.736321925772288,0.593788574207907,0.0349979057931442
"66","Q","S","EX",-0.562950930846796,1.13295295669587,-1.04204666049087,0.12211078630841,0.154156905522164,0.12191972613155,-0.479095729644074,-0.441031204715246
"67","Q","SQ","EX",-1.31911466844859,0.993921274769882,-1.15155725157261,-1.02040552376812,-0.485701868358684,0.501519311951466,0.16755741687598,-0.817595356497126
"68","Q","DQ","EX",-0.891989342142931,1.03758373903382,-0.683284041626694,-1.01792068695647,-0.206683759975527,0.511010991292041,0.208705300516237,-0.38097835085089
"69","R","G","EX",-0.589839881309043,0.820135429053955,-0.591002626567825,-0.631088876369169,0.185487622846546,0.234835156063909,-0.00116274525878253,-0.355004725245134
"70","R","S","EX",0.525168443992482,1.24158780978958,0.601172035340326,-0.785138266654924,0.205091028651136,0.186958878656575,0.0760035913478442,0.712127322649057
"71","R","SQ","EX",-0.214655923352898,1.23724115167006,-0.335880483741489,-1.19499185406144,-0.303370833312205,0.187614404992059,-0.121224560388591,-0.0270415183608394
"72","R","DQ","EX",-0.0926493898476561,2.1745324065273,0.32323008072362,-0.640498147601386,0.0377927903103789,0.729099221437379,0.415879470571276,0.636449831589723
"73","S","G","SED",-1.24090764141907,-0.00247016835535171,-0.850123217953575,-0.661128435586246,-0.397007727784902,0.498801618464325,0.390784423465499,-0.742106022954749
"74","S","S","SED",-0.924061067893695,0.00297560848268217,-1.53255201300993,-1.36419660494225,-0.0336312227006101,-0.249110664056661,-0.608490945116234,-1.17317173195036
"75","S","SQ","SED",-1.31929836205625,0.0214047647569047,-1.94226401429084,-1.82059607631531,-0.639726705226849,-0.0773861502235806,-0.622965652234593,-1.39668451227983
"76","S","DQ","SED",-1.41462025810157,-0.441424802168669,-1.21275549280553,-1.56872720410592,-1.05021483016889,0.323199349364369,0.201864765296039,-1.0914209087372
"77","T","G","SED",-0.1804200378276,0.56744057995958,-0.223933175485336,-0.610977634672632,-0.331892189069835,0.0346904458998943,-0.043513137657736,-0.145729591927706
"78","T","S","SED",-0.83090105245884,0.386757174216462,-1.22309008052884,-0.532891664651208,-0.0199128717728787,-0.110696641304578,-0.392189028069998,-0.941597693763418
"79","T","SQ","SED",0.174690825006218,0.0288957766634129,-0.419388814573501,-0.867112071750478,-0.430712057064553,-0.554218281272994,-0.59407963957972,-0.379527456266776
"80","T","DQ","SED",-0.165463554772171,0.497873117049281,-0.375256662561603,-0.797121390916496,-0.384578157138734,-0.0775683272606518,-0.209793107789432,-0.243031882032823
"81","U","G","EX",-0.653954871656215,0.61657397220696,-0.46905794854272,-1.06357538275104,-0.420729452705382,0.345094486887383,0.184896923113494,-0.308860384768832
"82","U","S","EX",-0.41072748515803,0.55867077011814,-0.666681097595783,-0.64299588600605,0.0281470391825786,0.0642655674094375,-0.255953612437752,-0.346461917748593
"83","U","SQ","EX",-1.13156715410988,0.267242661101664,-0.484893129739881,-1.20335769354537,-0.425185105418295,0.740162335234894,0.646674024370004,-0.39140481887499
"84","U","DQ","EX",-0.273520778577297,0.734926559841121,-0.231785851138082,-0.810692002091566,0.118068283858136,0.179479447443919,0.0417349274392152,-0.0940413311333773
"85","V","G","EX",-0.130907649080484,0.194734463577581,-0.535917098391249,-0.824445958752446,0.0106050669617454,-0.329376582905887,-0.405009449310765,-0.46028423198637
"86","V","S","EX",-0.426723014809931,0.634041623442787,-0.703844372044094,-0.614549849247436,0.488714116256119,0.00312908820574267,-0.277121357234163,-0.423593926604188
"87","V","SQ","EX",-0.515131597846888,0.445006225054873,-0.91453572280389,-1.44615672852605,-0.180343207019009,-0.219524396372922,-0.399404124957002,-0.734655994219811
"88","V","DQ","EX",-0.495790388195985,0.823340186341898,-1.1008323311398,-1.00405822191796,-0.163911133458247,-0.338542202388646,-0.605041942943812,-0.83433259058463
"89","W","G","EX",-1.0711115445236,0.810112112772057,-0.429114216838117,-0.434334384327425,-0.565763745456266,0.748929769125534,0.64199732768548,-0.322181775398064
"90","W","S","EX",-0.750574279904376,0.488016561630206,-0.147780510838334,0.152919556591661,0.353195386293279,0.713169139201534,0.602793769066042,-0.0374051407028418
"91","W","SQ","EX",-1.01062575230098,0.530055381121162,-0.376631369632708,-0.747378998708877,-0.439199296203704,0.73791784533343,0.633994382668268,-0.272707906967545
"92","W","DQ","EX",-0.146556804754595,0.541464822751257,-0.352874688351586,-0.482712185948891,0.107728246369845,-0.0456581547529654,-0.206317883596992,-0.19221495950756
